DATE,PSTAT,U,RR1,DRR1,FF,T,N,NBAS,CL,CM,CH,N1,N2,N3,N4,UV_INDICE,name_station
2016010200,"1020,1",80.0,"0,0",0.0,"1,6","12,9",8.0,8.0,,,,8.0,,,,,Ajaccio
2016010201,"1019,5",88.0,"0,0",26.0,"2,1","12,3",8.0,8.0,,,,7.0,8.0,,,,Ajaccio
2016010202,"1019,1",86.0,"0,0",0.0,"2,4","12,4",8.0,8.0,,,,7.0,8.0,,,,Ajaccio
2016010203,"1018,6",91.0,"0,4",27.0,"0,6","12,1",8.0,8.0,,,,3.0,5.0,7.0,,,Ajaccio
2016010204,"1017,8",96.0,"0,8",42.0,"2,6","11,9",8.0,5.0,,,,5.0,5.0,8.0,,,Ajaccio
2016010205,"1017,3",95.0,"0,6",0.0,"2,0","12,1",8.0,6.0,5.0,2.0,,2.0,5.0,5.0,8.0,,Ajaccio
2016010206,"1017,1",94.0,"0,2",60.0,"2,4","12,1",8.0,8.0,5.0,2.0,,2.0,5.0,5.0,7.0,,Ajaccio
2016010207,"1016,7",95.0,"0,2",60.0,"2,1","12,3",8.0,8.0,5.0,2.0,,2.0,5.0,5.0,7.0,,Ajaccio
2016010208,"1016,8",95.0,"1,2",29.0,"1,5","12,4",8.0,7.0,5.0,2.0,,2.0,5.0,5.0,7.0,,Ajaccio
2016010209,"1016,4",95.0,"0,0",60.0,"1,6","13,4",8.0,7.0,5.0,2.0,,2.0,5.0,5.0,7.0,,Ajaccio
2016010210,"1015,8",94.0,"1,2",60.0,"6,3","15,3",8.0,8.0,5.0,,,2.0,5.0,5.0,7.0,,Ajaccio
2016010211,"1015,3",95.0,"1,0",60.0,"6,4","15,6",8.0,8.0,7.0,,,2.0,5.0,5.0,7.0,,Ajaccio
2016010212,"1014,5",92.0,"0,8",60.0,"6,8","15,5",8.0,8.0,7.0,,,2.0,5.0,5.0,7.0,,Ajaccio
2016010213,"1013,9",93.0,"1,4",60.0,"6,3","15,5",8.0,8.0,7.0,,,2.0,5.0,5.0,7.0,,Ajaccio
2016010214,"1013,5",93.0,"0,6",60.0,"7,0","15,6",8.0,8.0,,,,5.0,7.0,8.0,,,Ajaccio
2016010215,"1012,8",92.0,"0,3",60.0,"6,1","15,6",8.0,8.0,7.0,,,2.0,5.0,5.0,7.0,,Ajaccio
2016010216,"1012,0",94.0,"1,0",60.0,"8,2","15,6",8.0,8.0,7.0,,,2.0,5.0,5.0,7.0,,Ajaccio
2016010217,"1012,1",93.0,"1,2",60.0,"4,0","15,5",8.0,8.0,7.0,,,2.0,5.0,5.0,7.0,,Ajaccio
2016010218,"1012,6",90.0,"0,0",3.0,"6,6","15,1",8.0,8.0,,,,7.0,7.0,8.0,,,Ajaccio
2016010219,"1012,6",83.0,"0,0",0.0,"4,5","14,7",8.0,5.0,,,,1.0,5.0,7.0,,,Ajaccio
2016010220,"1012,0",84.0,"0,0",0.0,"4,2","14,2",7.0,4.0,,,,4.0,6.0,7.0,,,Ajaccio
2016010221,"1012,0",85.0,"0,0",0.0,"3,0","13,9",7.0,7.0,,,,5.0,7.0,7.0,,,Ajaccio
2016010222,"1012,3",71.0,"0,0",0.0,"5,4","13,4",,2.0,,,,1.0,5.0,,,,Ajaccio
2016010223,"1012,7",70.0,"0,0",0.0,"0,6","13,0",7.0,7.0,,,,7.0,7.0,,,,Ajaccio
2016010300,"1012,3",71.0,"0,0",0.0,"2,7","13,2",7.0,7.0,,,,6.0,7.0,7.0,,,Ajaccio
2016010301,"1011,7",68.0,"0,0",0.0,"3,7","12,7",6.0,6.0,,,,5.0,5.0,6.0,,,Ajaccio
2016010302,"1011,3",64.0,"0,0",0.0,"2,5","12,9",7.0,5.0,,,,3.0,5.0,7.0,,,Ajaccio
2016010303,"1011,3",64.0,"0,0",0.0,"4,3","12,7",7.0,6.0,,,,5.0,6.0,7.0,,,Ajaccio
2016010304,"1011,3",64.0,"0,0",0.0,"4,9","12,8",8.0,6.0,,,,4.0,5.0,6.0,,,Ajaccio
2016010305,"1011,4",65.0,"0,0",0.0,"4,8","12,8",4.0,4.0,2.0,0.0,0.0,1.0,3.0,,,,Ajaccio
2016010306,"1011,5",65.0,"0,0",0.0,"3,7","12,6",5.0,5.0,2.0,0.0,0.0,3.0,3.0,,,,Ajaccio
2016010307,"1011,1",67.0,"0,0",4.0,"3,6","12,6",7.0,7.0,8.0,,,3.0,5.0,,,,Ajaccio
2016010308,"1011,2",66.0,"0,0",28.0,"3,1","12,6",7.0,7.0,8.0,,,3.0,5.0,,,,Ajaccio
2016010309,"1011,7",60.0,"0,0",0.0,"3,6","13,8",5.0,5.0,8.0,0.0,0.0,3.0,3.0,,,,Ajaccio
2016010310,"1012,2",57.0,"0,0",0.0,"6,0","14,0",5.0,5.0,8.0,0.0,0.0,3.0,3.0,,,,Ajaccio
2016010311,"1011,3",55.0,"0,0",0.0,"5,1","14,1",5.0,5.0,8.0,4.0,2.0,3.0,3.0,1.0,1.0,,Ajaccio
2016010312,"1010,5",51.0,"0,0",0.0,"1,8","15,1",4.0,3.0,8.0,4.0,2.0,1.0,3.0,1.0,1.0,,Ajaccio
2016010313,"1010,0",51.0,"0,0",0.0,"3,8","15,1",4.0,3.0,8.0,4.0,2.0,1.0,3.0,1.0,1.0,,Ajaccio
2016010314,"1009,6",58.0,"0,0",0.0,"2,5","13,9",6.0,4.0,8.0,0.0,2.0,2.0,3.0,,4.0,,Ajaccio
2016010315,"1009,1",58.0,"0,0",0.0,"0,8","13,9",6.0,5.0,8.0,0.0,2.0,3.0,3.0,,4.0,,Ajaccio
2016010316,"1009,0",61.0,"0,0",0.0,"0,0","12,8",7.0,5.0,8.0,0.0,2.0,3.0,5.0,,4.0,,Ajaccio
2016010317,"1008,6",73.0,"0,0",0.0,"1,6","11,6",7.0,7.0,8.0,,,3.0,7.0,,,,Ajaccio
2016010318,"1008,5",72.0,"0,0",0.0,"1,8","11,2",7.0,5.0,,,,4.0,5.0,7.0,,,Ajaccio
2016010319,"1008,5",72.0,"0,0",0.0,"2,8","10,7",,3.0,,,,2.0,3.0,,,,Ajaccio
2016010320,"1007,6",78.0,"0,0",0.0,"2,5","9,7",8.0,2.0,,,,2.0,8.0,,,,Ajaccio
2016010321,"1006,8",76.0,"0,0",0.0,"2,4","9,9",8.0,5.0,,,,1.0,5.0,8.0,,,Ajaccio
2016010322,"1005,7",75.0,"0,0",0.0,"3,2","10,1",8.0,2.0,,,,2.0,6.0,7.0,,,Ajaccio
2016010323,"1005,4",75.0,"0,0",0.0,"0,7","10,4",8.0,8.0,,,,5.0,6.0,8.0,,,Ajaccio
2016010400,"1004,7",80.0,"0,0",34.0,"1,3","10,3",8.0,8.0,,,,6.0,7.0,8.0,,,Ajaccio
2016010401,"1004,3",92.0,"0,8",60.0,"1,7","9,5",8.0,8.0,,,,7.0,8.0,,,,Ajaccio
2016010402,"1003,7",95.0,"1,4",60.0,"1,8","9,5",8.0,8.0,,,,2.0,4.0,8.0,,,Ajaccio
2016010403,"1002,4",96.0,"1,6",60.0,"2,3","9,6",8.0,8.0,,,,7.0,8.0,,,,Ajaccio
2016010404,"1001,4",97.0,"2,9",60.0,"2,0","10,0",8.0,8.0,,,,1.0,6.0,8.0,,,Ajaccio
2016010405,"1000,3",96.0,"3,2",2.0,"2,0","9,9",8.0,8.0,8.0,,,3.0,7.0,,,,Ajaccio
2016010406,"1000,5",97.0,"2,2",60.0,"1,3","10,4",8.0,8.0,8.0,,,1.0,5.0,7.0,,,Ajaccio
2016010407,"999,9",96.0,"0,4",59.0,"3,4","11,1",8.0,8.0,8.0,,,1.0,5.0,7.0,,,Ajaccio
2016010408,"1001,1",96.0,"0,0",29.0,"0,5","11,4",8.0,8.0,8.0,,,1.0,5.0,7.0,,,Ajaccio
2016010409,"1001,4",95.0,"0,0",5.0,"0,9","11,9",8.0,8.0,8.0,,,1.0,5.0,7.0,,,Ajaccio
2016010410,"1002,1",93.0,"0,0",0.0,"1,6","12,7",8.0,8.0,8.0,,,1.0,5.0,7.0,,,Ajaccio
2016010411,"1001,8",93.0,"0,2",52.0,"0,7","13,0",8.0,8.0,8.0,,,1.0,5.0,7.0,,,Ajaccio
2016010412,"1001,1",86.0,"0,0",27.0,"2,3","13,6",8.0,8.0,8.0,,,1.0,5.0,7.0,,,Ajaccio
2016010413,"1000,7",80.0,"0,0",28.0,"2,2","14,4",8.0,8.0,8.0,,,3.0,5.0,7.0,,,Ajaccio
2016010414,"1000,3",78.0,"0,0",0.0,"1,9","14,5",8.0,8.0,8.0,,,3.0,3.0,7.0,,,Ajaccio
2016010415,"1000,5",76.0,"0,0",0.0,"2,4","14,3",8.0,8.0,8.0,,,3.0,3.0,7.0,,,Ajaccio
2016010416,"1000,7",74.0,"0,0",0.0,"0,0","13,7",8.0,5.0,8.0,7.0,,3.0,3.0,3.0,7.0,,Ajaccio
2016010417,"1000,2",82.0,"0,0",0.0,"1,7","12,6",8.0,5.0,8.0,7.0,,3.0,3.0,3.0,7.0,,Ajaccio
2016010418,"999,8",89.0,"0,0",0.0,"1,7","11,9",8.0,1.0,,,,1.0,8.0,,,,Ajaccio
2016010419,"1000,5",92.0,"0,0",0.0,"1,7","11,5",8.0,1.0,,,,1.0,6.0,8.0,,,Ajaccio
