nst_of_storm,lightning_id,lightning_airport_id,year,day_of_year,second,date,lon,lat,amplitude,mean_amplitude,var_amplitude,maxis,icloud,prop_icloud_of_storm,dist,azimuth,airport_alert_id,is_last_lightning_cloud_ground,total_second,nst_of_alert
1.0,1,1,2016,2,53616,2016-01-02 14:53:36,9.0559,42.0826,-9.9,-9.9,,0.3,False,0.0,27.36065348968198,57.85234306639109,,False,505061616.0,0
2.0,2,2,2016,2,53616,2016-01-02 14:53:36,9.0236,42.0953,-3.33,-6.615,21.58245,0.2,True,0.5,26.383167336067824,52.117827868980406,,False,505061616.0,0
1.0,3,3,2016,2,76973,2016-01-02 21:22:53,8.8585,42.0456,-18.68,-18.68,,0.4,True,1.0,14.313391140930593,24.500543186227112,,False,505084973.0,0
2.0,4,4,2016,2,76973,2016-01-02 21:22:53,8.8517,42.0517,-7.51,-13.094999999999999,62.38444999999999,0.2,False,0.5,14.794117478283528,20.85445803957887,1.0,False,505084973.0,0
3.0,5,5,2016,2,77086,2016-01-02 21:24:46,8.8728,42.0494,-6.01,-10.733333333333334,47.92463333333332,0.2,False,0.3333333333333333,15.124223777969677,29.058470993822,1.0,False,505085086.0,1
4.0,6,6,2016,2,77159,2016-01-02 21:25:59,8.8495,42.0595,-23.96,-14.04,75.68593333333334,2.6,False,0.25,15.583921965062842,18.926800135128804,1.0,False,505085159.0,2
5.0,7,7,2016,2,77224,2016-01-02 21:27:04,8.8978,42.0423,-11.65,-13.562000000000001,57.906870000000005,0.2,False,0.2,15.343433268103782,38.64214436208678,1.0,False,505085224.0,3
6.0,8,8,2016,2,77334,2016-01-02 21:28:54,8.9269,42.0576,-10.97,-13.13,47.44524,0.8,True,0.3333333333333333,18.07198943889418,42.78034444680216,,False,505085334.0,0
7.0,9,9,2016,2,77334,2016-01-02 21:28:54,8.9119,42.0593,-5.31,-12.012857142857143,48.27375714285714,0.6,False,0.2857142857142857,17.561774469823227,38.772908793530505,1.0,True,505085334.0,0
8.0,10,10,2016,2,77543,2016-01-02 21:32:23,8.9725,42.0501,-43.09,-15.8975,162.10110714285716,0.2,True,0.375,19.84486375843316,53.281749776428775,,False,505085543.0,0
9.0,11,11,2016,2,77795,2016-01-02 21:36:35,9.0199,42.0402,11.21,-12.885555555555555,223.48475277777777,0.2,True,0.4444444444444444,22.11703386221738,61.74965291296023,,False,505085795.0,0
10.0,12,12,2016,2,77795,2016-01-02 21:36:35,9.0094,42.0444,-179.99,-29.596000000000004,2991.0426488888893,0.2,True,0.5,21.70518951122488,59.67288267735286,,False,505085795.0,0
11.0,13,13,2016,2,78186,2016-01-02 21:43:06,9.0937,42.0298,-6.75,-27.519090909090913,2739.3874490909093,0.2,True,0.5454545454545454,26.764601929841422,69.93783433367165,,False,505086186.0,0
12.0,14,14,2016,2,78797,2016-01-02 21:53:17,9.0918,41.9826,-150.83,-37.795,3757.483918181819,0.3,False,0.5,24.75823106926504,78.45760837244917,,False,505086797.0,0
13.0,15,15,2016,2,78908,2016-01-02 21:55:08,9.1032,41.9762,-64.86,-39.87692307692308,3500.7075064102573,0.3,True,0.5384615384615384,25.496737702746422,80.06496126058825,,False,505086908.0,0
