nst_of_storm,year,day_of_year,second,amplitude,mean_amplitude,var_amplitude,maxis,icloud,prop_icloud_of_storm,dist,dist_barycentre,azimuth,azimuth_barycentre,barycentre_speed,nst_of_alert,airport_alert_id,PSTAT,U,RR1,DRR1,FF,T,N,NBAS,CL,CM,CH,N1,N2,N3,N4,UV_INDICE,is_last_lightning_cloud_ground
1.0,2016,9,56033,7.32,7.32,,0.034663,True,1.0,29.038475786768704,25.19767648518906,247.50307652030304,157.8991678961858,,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
2.0,2016,9,56033,6.2,6.76,0.6271999999999996,0.521785,True,1.0,28.831664360098625,27.432553427378256,243.2631142971928,186.34650077768228,,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
3.0,2016,9,56033,-2.33,3.7300000000000004,27.856300000000005,1.08626,True,1.0,24.11249283923504,26.589011577901683,257.9605464708549,188.25939362063227,,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
4.0,2016,9,56068,13.85,6.26,44.17446666666666,0.051358,True,1.0,29.11194453339992,26.676310966501926,244.47737616288745,188.7641118273286,13.55131922088697,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
5.0,2016,9,56069,40.97,13.201999999999998,274.08767,0.026762,True,1.0,26.35514385801464,26.894558690310294,249.3224696253324,218.80803667420957,808.2363478055204,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
6.0,2016,9,56128,12.62,13.104999999999999,219.32658999999998,0.046768,True,1.0,27.19774219713796,27.44124392910915,246.50765761651297,248.17237344884725,806.3406134881416,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
7.0,2016,9,56176,11.88,12.929999999999998,182.98653333333334,0.027859,True,1.0,25.701005113427986,26.884998816885695,246.4977755430016,248.00482328596368,-0.21234256142669183,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
8.0,2016,9,56176,6.15,12.0825,162.59165000000002,1.16874,True,1.0,24.54211470415409,26.170073874228276,241.669693712672,247.73925318854353,-0.3216047839434342,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
9.0,2016,9,56176,4.15,11.20111111111111,149.25931111111112,0.422145,True,1.0,27.091822463620147,26.666628811625788,246.09776824912973,245.76212348492268,-2.1913354780876975,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
10.0,2016,9,56252,6.62,10.742999999999999,134.77360111111113,0.263397,True,1.0,23.631380987013102,25.75320155389465,248.5280202289136,246.43723082926041,0.5371548349844888,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
11.0,2016,9,56252,8.28,10.519090909090908,121.8477290909091,0.067345,True,1.0,23.754063824294114,25.319688214941237,247.45453131075948,246.12590777683158,-0.27265953969099216,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
12.0,2016,9,56268,-5.22,9.2075,131.41391136363634,0.151621,True,1.0,27.8823496602867,25.433789458799357,244.8571093007893,245.8508163908776,-0.29496493443015576,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
13.0,2016,9,56334,6.46,8.996153846153847,121.04342564102564,0.340439,False,0.9230769230769231,21.14569738181686,24.67457150353084,242.6578272420995,245.21082500739394,-0.6285087767531938,0,,991.3,74.0,0.0,0.0,8.7,12.8,7.0,6.0,8.0,0.0,2.0,1.0,6.0,4.0,,,False
